,Is your research data automatically backed up?,Did you lose any research data in the past year?,You said you lost research data in the past year. How much time did you lose?,How frequently do you have problems finding a specific research data file in your collection?,"Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?",You said that you are currently using tools for data management. What are these tool(s)?,Would you be interested in trying out a dedicated tool for research data management?,Does your project have a data management plan?,Do you know who owns the research data that you are creating?,You said you know who owns the research data that you are creating. Who is it?,Who do you think is responsible for the stewardship of research data resulting from your project?,"Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?",Are you aware of research data repositories?,Please provide us with the name(s) of the repository(ies) that you are using,Please indicate if you (or related staff / students) would be interested in any potential training on research data management,Which institution are you from?,Have you heard about dedicated support for research data management at EPFL?,"Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]","Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]","Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]",Do you share data files associated with your publications?,Please specify where you share your data,What is your position?,"Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?",Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?,Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?,What is your position?,Which faculty are you from?
590,Not sure,No,,Sometimes,No,,Yes,Yes,Not sure,,My supervisor,No,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;Data management plan preparation;Data backup and storage solutions;Data ownership and licensing;Funders’ requirements for data management and sharing,TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,No,Postdoc/Researcher,LR - Aerospace Engineering
591,No,No,,Almost never,No,,Yes,Yes,Not sure,,Myself;My supervisor,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Postdoc/Researcher,LR - Aerospace Engineering
592,No,Yes,1 day - 7 days,Sometimes,No,,No,Not sure,Not sure,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;How to use repositories for data sharing and searching for existing datasets,TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,Yes,Full Professor,LR - Aerospace Engineering
593,Not sure,No,,Almost never,Yes,,,No,No,,Not sure,No,Not sure,,General introduction to research data management;Data backup and storage solutions,TU Delft,,,,,,,,,,,,,,,,,No,No,No,Postdoc/Researcher,LR - Aerospace Engineering
594,No,Not sure,,Almost never,Yes,,,Not sure,Yes,,Myself;My supervisor,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,Data management plan preparation;Data backup and storage solutions;Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Not sure,Yes,No,PhD student,LR - Aerospace Engineering
595,Yes,No,,Almost never,Not sure,,Not sure,No,Yes,,Myself;My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,No,Assistant Professor,LR - Aerospace Engineering
596,No,No,,Sometimes,No,,Yes,No,Yes,,Myself;My unit's IT manager,No,Not sure,,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,No,Yes,PhD student,LR - Aerospace Engineering
597,No,No,,Almost never,No,,Yes,No,Yes,,Myself,Not sure,Not sure,,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,LR - Aerospace Engineering
598,Yes,No,,Sometimes,No,,Yes,Not sure,Not sure,,Not sure,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Not sure,No,Yes,PhD student,LR - Aerospace Engineering
599,No,No,,Sometimes,No,,Yes,Not sure,Not sure,,My unit's IT manager;My university/institution,No,Not sure,,Data backup and storage solutions;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Not sure,Not sure,Not sure,PhD student,LR - Aerospace Engineering
600,Yes,No,,Almost never,Yes,,,No,Yes,,Myself;My supervisor;My unit's IT manager;My university/institution,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;Data ownership and licensing;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,LR - Aerospace Engineering
601,No,No,,Sometimes,No,,Yes,Not sure,Yes,,Myself;My supervisor;My university/institution;Project partner (e.g. commercial company or a collaborator),No,"No, I have no idea what these are",,General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,TU Delft,,,,,,,,,,,,,,,,,No,No,No,Postdoc/Researcher,LR - Aerospace Engineering
602,Yes,No,,Sometimes,Yes,,,No,Not sure,,Myself;My unit's IT manager;My university/institution;My funding agency,No,"Yes, I am already using them to find existing datasets or to share my own data",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,Full Professor,LR - Aerospace Engineering
603,Yes,No,,Sometimes,No,,Yes,No,Not sure,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Postdoc/Researcher,LR - Aerospace Engineering
604,Yes,No,,Sometimes,No,,Yes,Not sure,Yes,,Myself;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,No,PhD student,LR - Aerospace Engineering
605,No,No,,Never,No,,Not sure,Not sure,Not sure,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,internship,LR - Aerospace Engineering
606,No,Not sure,,Sometimes,No,,Yes,No,Yes,,Myself;My supervisor;My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Working with confidential data (personally identifiable;commercially sensitive etc.);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Visiting Phd student,LR - Aerospace Engineering
607,No,No,,Almost never,No,,Not sure,No,Yes,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing,TU Delft,,,,,,,,,,,,,,,,,Yes,No,Yes,PhD student,LR - Aerospace Engineering
608,Yes,No,,Sometimes,No,,Yes,No,Not sure,,Myself;My supervisor,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,No,PhD student,TNW - Applied Sciences
609,No,No,,Sometimes,No,,Yes,No,Yes,,Not sure,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),TU Delft,,,,,,,,,,,,,,,,,No,No,No,PhD student,LR - Aerospace Engineering
610,No,No,,Sometimes,No,,Yes,No,Not sure,,Myself;My supervisor;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator),Yes,"No, I have no idea what these are",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Not sure,Not sure,No,PhD student,LR - Aerospace Engineering
611,No,No,,Sometimes,No,,Not sure,No,Yes,,Myself;My supervisor,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data backup and storage solutions,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,PhD student,LR - Aerospace Engineering
612,No,No,,Almost never,No,,Not sure,No,No,,Myself,No,Not sure,,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,No,Yes,PhD student,LR - Aerospace Engineering
613,No,No,,Sometimes,Not sure,,Yes,No,Yes,,My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Assistant Professor,LR - Aerospace Engineering
614,Yes,No,,Sometimes,No,,Yes,Yes,Yes,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Using version control software,TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Postdoc/Researcher,LR - Aerospace Engineering
615,Yes,No,,Almost never,Yes,,,No,Yes,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/),TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,PhD student,LR - Aerospace Engineering
616,Yes,No,,Sometimes,No,,Yes,Yes,Yes,,Myself;My university/institution;Project partner (e.g. commercial company or a collaborator),Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Associate Professor,LR - Aerospace Engineering
617,Yes,No,,Almost never,No,,Yes,No,No,,Myself,Not sure,Not sure,,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable;commercially sensitive etc.),TU Delft,,,,,,,,,,,,,,,,,Not sure,No,Yes,Assistant Professor,LR - Aerospace Engineering
618,Not sure,Yes,1 day - 7 days,Sometimes,Not sure,,Yes,Not sure,Not sure,,Myself;My supervisor;Project partner (e.g. commercial company or a collaborator),Not sure,"Yes, I am already using them to find existing datasets or to share my own data",,Organising folders and files;Data backup and storage solutions,TU Delft,,,,,,,,,,,,,,,,,Yes,Not sure,No,PhD student,LR - Aerospace Engineering
619,Yes,No,,Sometimes,No,,Not sure,No,Yes,,Not sure,No,"Yes, I am already using them to find existing datasets or to share my own data",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,PhD student,LR - Aerospace Engineering
620,No,Yes,7 days - 1 month,Almost never,No,,No,No,Yes,,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,No,Not sure,Not sure,Associate Professor,LR - Aerospace Engineering
621,No,No,,Sometimes,Yes,,,Not sure,No,,Not sure,No,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Yes,No,No,Support Staff,"EWI - Electrical Engineering, Mathematics and Computer Science"
622,No,No,,Sometimes,Not sure,,No,No,Yes,,Myself;My supervisor,Not sure,"Yes, I am already using them to find existing datasets or to share my own data",,Not interested in training,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,PhD student,LR - Aerospace Engineering
623,No,Yes,1 month - 6 months,Frequently,Yes,,,Not sure,Not sure,,Myself;My supervisor;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator),Not sure,"Yes, I am already using them to find existing datasets or to share my own data",,Data backup and storage solutions;Data ownership and licensing,TU Delft,,,,,,,,,,,,,,,,,Not sure,No,No,PhD student,"EWI - Electrical Engineering, Mathematics and Computer Science"
